username,date_month,user_classification,is_data_user
user_0377,2025-05,Basic,True
user_0073,2025-10,Basic,True
user_0403,2025-01,Basic,True
user_0062,2025-11,No Use,False
user_0314,2025-06,No Use,False
user_0169,2025-02,Advanced,True
user_0198,2025-07,Basic,True
user_0062,2025-08,Sleeper,False
user_0066,2025-12,Basic,True
user_0149,2025-04,Advanced,True
user_0209,2025-08,Champion,True
user_0717,2025-06,Intermediate,True
user_0430,2025-03,Beginner,True
user_0526,2025-01,Basic,True
user_0508,2025-07,No Use,False
user_0071,2025-05,Sleeper,False
user_0366,2025-11,Champion,True
user_0369,2025-06,Basic,True
user_0261,2025-05,Basic,True
user_0311,2025-12,Basic,True
user_0075,2025-08,No Use,False
user_0282,2025-10,No Use,False
user_0321,2025-03,Beginner,True
user_0126,2025-12,Basic,True
user_0418,2025-08,No Use,False
user_0104,2025-01,Sleeper,False
user_0487,2025-03,Advanced,True
user_0114,2025-11,No Use,False
user_0025,2025-02,Beginner,True
user_0276,2025-06,Intermediate,True
user_0790,2025-01,No Use,False
user_0609,2025-12,No Use,False
user_0628,2025-01,Beginner,True
user_0234,2025-09,Basic,True
user_0582,2025-10,Basic,True
user_0188,2025-03,Beginner,True
user_0657,2025-04,Basic,True
user_0478,2025-01,Sleeper,False
user_0463,2025-07,Sleeper,False
user_0492,2025-03,Intermediate,True
user_0640,2025-01,Beginner,True
user_0396,2025-04,Sleeper,False
user_0200,2025-09,No Use,False
user_0703,2025-12,No Use,False
user_0195,2025-04,Beginner,True
user_0422,2025-03,Intermediate,True
user_0177,2025-02,Basic,True
user_0192,2025-09,Champion,True
user_0088,2025-01,Beginner,True
user_0243,2025-05,No Use,False
user_0638,2025-06,Intermediate,True
user_0149,2025-11,Intermediate,False
user_0678,2025-12,Basic,True
user_0654,2025-10,Advanced,True
user_0010,2025-07,Basic,True
user_0251,2025-10,Intermediate,True
user_0209,2025-01,Champion,True
user_0443,2025-06,Beginner,True
user_0255,2025-11,Basic,True
user_0201,2025-02,Beginner,True
