tim_day,username,start_date,end_date,country,site,department,division,function
2025-09-01,user_0226,2024-01-16,,Argentina,MLA,Fraud Prevention,Fintech,Senior Analyst
2025-12-01,user_0565,2018-03-29,,Brazil,MLB,Insurance,Fintech,Risk Analyst
2025-01-01,user_0067,2020-03-27,,Chile,MLC,Data Engineering,IT,Data Engineer
2025-04-01,user_0462,2021-08-14,,Brazil,MLB,Performance,Advertising,Analyst
2025-07-01,user_0253,2023-11-06,,Chile,MLC,Insurance,Fintech,Senior Analyst
2025-03-01,user_0662,2023-09-22,,Colombia,MCO,FP&A,Finance,Financial Analyst
2025-01-01,user_0115,2019-07-15,,Venezuela,MLV,Credit,Fintech,Specialist
2025-05-01,user_0054,2018-07-09,,Colombia,MCO,UX Research,Products,UX Designer
2025-03-01,user_0715,2024-11-01,,Brazil,MLB,Credit Risk,Risk & Compliance,Compliance Officer
2025-01-01,user_0738,2019-04-24,2025-07-13,Mexico,MLM,Buyers Experience,Marketplace,Senior Analyst
2025-12-01,user_0150,2019-03-10,,United States,USA,Catalog,Marketplace,Manager
2025-02-01,user_0548,2018-01-01,,Argentina,MLA,Last Mile,Shipping,Coordinator
2025-01-01,user_0254,2018-07-12,,Brazil,MLB,HR Business Partner,People,Manager
2025-09-01,user_0209,2020-09-13,,Peru,MPE,Brand,Advertising,Account Manager
2025-09-01,user_0502,2019-12-28,,Brazil,MLB,Fraud Prevention,Fintech,Senior Analyst
2025-03-01,user_0608,2019-08-20,,Brazil,MLB,Sellers Growth,Marketplace,Senior Analyst
2025-05-01,user_0566,2024-02-02,,Brazil,MLB,Tax,Finance,Controller
2025-11-01,user_0639,2020-02-07,,Brazil,MLB,Internal Audit,Internal Audit,Audit Manager
2025-08-01,user_0662,2023-09-22,,Colombia,MCO,FP&A,Finance,Financial Analyst
2025-09-01,user_0277,2025-08-12,,Argentina,MLA,Digital Marketing,Marketing,Marketing Manager
2025-12-01,user_0393,2019-02-18,,Mexico,MLM,Talent Acquisition,People,HR Analyst
2025-01-01,user_0196,2024-03-09,2025-03-17,Brazil,MLB,Publisher,Advertising,Manager
2025-01-01,user_0247,2024-01-10,,Argentina,MLA,Buyers Experience,Marketplace,Manager
2025-04-01,user_0453,2019-12-30,,Mexico,MLM,Insurance,Fintech,Senior Analyst
2025-09-01,user_0670,2022-02-18,2025-10-05,Ecuador,MEC,Credit Risk,Risk & Compliance,Risk Analyst
2025-05-01,user_0573,2024-10-17,,Chile,MLC,Publisher,Advertising,Analyst
2025-06-01,user_0643,2019-02-07,,Colombia,MCO,Publisher,Advertising,Senior Analyst
2025-08-01,user_0562,2024-07-08,,Mexico,MLM,Operations,Shipping,Representative
2025-07-01,user_0450,2024-09-25,,Mexico,MLM,CRM,Marketing,Analyst
2025-03-01,user_0465,2021-09-21,,Mexico,MLM,Last Mile,Shipping,Coordinator
2025-07-01,user_0029,2020-06-10,,Colombia,MCO,DevOps,IT,Software Engineer
2025-02-01,user_0650,2020-03-22,,Brazil,MLB,AML,Risk & Compliance,Manager
2025-03-01,user_0309,2023-02-17,,Brazil,MLB,Buyers Experience,Marketplace,Lead
2025-04-01,user_0136,2020-11-10,,Argentina,MLA,Brand Strategy,Marketing,Specialist
2025-04-01,user_0443,2023-02-12,,Brazil,MLB,GMV Analytics,Marketplace,Lead
2025-05-01,user_0654,2024-10-11,,Argentina,MLA,Performance,Advertising,Manager
2025-02-01,user_0635,2021-10-16,,Mexico,MLM,HR Business Partner,People,Recruiter
2025-12-01,user_0587,2019-09-05,,Chile,MLC,Sellers Growth,Marketplace,Manager
2025-02-01,user_0772,2023-07-07,,Brazil,MLB,Catalog,Marketplace,Manager
2025-11-01,user_0120,2020-12-09,,Brazil,MLB,Agency,Advertising,Manager
2025-06-01,user_0111,2024-08-03,,Argentina,MLA,Credit Risk,Risk & Compliance,Compliance Officer
2025-04-01,user_0529,2018-02-04,2025-05-19,Chile,MLC,Sellers Growth,Marketplace,Lead
2025-03-01,user_0651,2023-04-03,2025-07-09,Mexico,MLM,SOX Compliance,Internal Audit,Audit Manager
2025-02-01,user_0332,2024-05-17,,Mexico,MLM,SOX Compliance,Internal Audit,Senior Auditor
2025-08-01,user_0235,2023-10-12,,Mexico,MLM,CRM,Marketing,Specialist
2025-02-01,user_0070,2020-03-23,2025-06-05,Mexico,MLM,Tax,Finance,Controller
2025-11-01,user_0569,2024-12-15,,Argentina,MLA,Sellers Growth,Marketplace,Lead
2025-06-01,user_0364,2020-06-17,,Brazil,MLB,Product Management,Products,Product Manager
2025-09-01,user_0120,2020-12-09,,Brazil,MLB,Agency,Advertising,Manager
2025-05-01,user_0776,2022-07-15,,Venezuela,MLV,L&D,People,Manager
2025-02-01,user_0497,2025-01-23,,Mexico,MLM,Credit,Fintech,Risk Analyst
2025-07-01,user_0004,2019-02-01,,Brazil,MLB,L&D,People,HR Analyst
2025-01-01,user_0449,2018-01-18,,Brazil,MLB,Tax,Finance,Senior Analyst
2025-10-01,user_0043,2021-09-22,,Venezuela,MLV,FP&A,Finance,Senior Analyst
2025-05-01,user_0615,2018-06-23,,Mexico,MLM,Digital Marketing,Marketing,Analyst
2025-02-01,user_0275,2024-08-01,2025-08-23,Chile,MLC,GMV Analytics,Marketplace,Analyst
2025-08-01,user_0716,2019-06-06,2025-11-19,Brazil,MLB,Brand Strategy,Marketing,Marketing Manager
2025-01-01,user_0424,2024-08-29,,Chile,MLC,GMV Analytics,Marketplace,Lead
2025-05-01,user_0643,2019-02-07,,Colombia,MCO,Publisher,Advertising,Senior Analyst
2025-11-01,user_0221,2021-11-03,,Mexico,MLM,Credit,Fintech,Risk Analyst
2025-09-01,user_0290,2018-10-11,,Ecuador,MEC,Performance,Advertising,Account Manager
2025-01-01,user_0532,2024-06-16,,Argentina,MLA,Fulfillment,Shipping,Coordinator
2025-07-01,user_0083,2018-02-20,,Mexico,MLM,UX Research,Products,Researcher
2025-07-01,user_0098,2018-02-26,,Chile,MLC,Legal,Legal & QA,Manager
2025-02-01,user_0486,2024-02-05,,Venezuela,MLV,Operational Risk,Risk & Compliance,Risk Analyst
2025-07-01,user_0327,2024-11-28,,Brazil,MLB,Operations,Shipping,Coordinator
2025-09-01,user_0510,2022-06-19,,Mexico,MLM,Insurance,Fintech,Specialist
2025-07-01,user_0298,2019-03-24,,Brazil,MLB,Sellers Growth,Marketplace,Analyst
2025-01-01,user_0053,2024-12-11,,Ecuador,MEC,Digital Marketing,Marketing,Marketing Manager
2025-06-01,user_0486,2024-02-05,,Venezuela,MLV,Operational Risk,Risk & Compliance,Risk Analyst
2025-08-01,user_0148,2018-06-23,,Mexico,MLM,Insurance,Fintech,Analyst
2025-05-01,user_0119,2024-04-01,,Brazil,MLB,CRM,Marketing,Specialist
2025-06-01,user_0531,2020-05-12,,Mexico,MLM,Product Management,Products,UX Designer
2025-04-01,user_0690,2023-07-09,2025-11-04,Argentina,MLA,Performance,Advertising,Account Manager
2025-06-01,user_0520,2022-03-25,,Brazil,MLB,Publisher,Advertising,Manager
2025-03-01,user_0388,2018-11-20,,Argentina,MLA,Agency,Advertising,Senior Analyst
2025-10-01,user_0197,2022-08-05,,Brazil,MLB,Internal Audit,Internal Audit,Senior Auditor
2025-08-01,user_0273,2021-09-18,,Chile,MLC,Digital Marketing,Marketing,Specialist
2025-12-01,user_0436,2025-03-08,,Brazil,MLB,Last Mile,Shipping,Supervisor
2025-02-01,user_0626,2020-01-01,,Argentina,MLA,FP&A,Finance,Financial Analyst
2025-06-01,user_0605,2022-10-13,,Peru,MPE,Product Analytics,Products,UX Designer
2025-11-01,user_0364,2020-06-17,,Brazil,MLB,Product Management,Products,Product Manager
2025-11-01,user_0366,2024-04-25,,Uruguay,MLU,GMV Analytics,Marketplace,Lead
2025-09-01,user_0555,2018-03-02,,Brazil,MLB,Digital Marketing,Marketing,Senior Analyst
2025-03-01,user_0718,2020-07-29,2025-10-26,Brazil,MLB,Infrastructure,IT,Manager
2025-02-01,user_0349,2018-12-14,,Mexico,MLM,Brand Strategy,Marketing,Specialist
2025-12-01,user_0762,2018-11-18,,Brazil,MLB,Credit,Fintech,Senior Analyst
2025-05-01,user_0675,2018-11-11,,Colombia,MCO,Catalog,Marketplace,Analyst
2025-06-01,user_0617,2021-04-20,,Uruguay,MLU,Security,IT,DevOps Engineer
2025-04-01,user_0323,2019-01-25,2025-10-03,Brazil,MLB,UX Research,Products,Researcher
2025-04-01,user_0400,2023-03-17,,Brazil,MLB,GMV Analytics,Marketplace,Senior Analyst
2025-03-01,user_0013,2023-12-08,,Argentina,MLA,Catalog,Marketplace,Lead
2025-08-01,user_0728,2023-05-14,,Colombia,MCO,GMV Analytics,Marketplace,Senior Analyst
2025-07-01,user_0508,2020-11-04,,Argentina,MLA,Operations,Shipping,Manager
2025-08-01,user_0466,2021-11-18,,Ecuador,MEC,Product Analytics,Products,Product Manager
2025-08-01,user_0377,2024-06-25,,Mexico,MLM,Fulfillment,Shipping,Representative
2025-11-01,user_0735,2023-12-12,,Mexico,MLM,Product Management,Products,Researcher
2025-08-01,user_0496,2021-09-14,,Brazil,MLB,Sellers Growth,Marketplace,Senior Analyst
2025-12-01,user_0426,2019-02-18,,Brazil,MLB,Product Design,Products,Product Analyst
2025-01-01,user_0036,2019-03-01,,United States,USA,Product Design,Products,Product Analyst
2025-12-01,user_0075,2024-05-23,,Peru,MPE,Catalog,Marketplace,Senior Analyst
2025-03-01,user_0377,2024-06-25,,Mexico,MLM,Fulfillment,Shipping,Representative
2025-05-01,user_0357,2020-03-20,,Brazil,MLB,Credit Risk,Risk & Compliance,Risk Analyst
2025-04-01,user_0031,2020-08-21,,Brazil,MLB,Performance,Advertising,Analyst
2025-09-01,user_0757,2023-06-10,,Argentina,MLA,Buyers Experience,Marketplace,Lead
2025-04-01,user_0300,2024-11-20,,Venezuela,MLV,UX Research,Products,Researcher
2025-11-01,user_0032,2024-07-18,,Mexico,MLM,Credit Risk,Risk & Compliance,Risk Analyst
2025-08-01,user_0675,2018-11-11,,Colombia,MCO,Catalog,Marketplace,Analyst
2025-03-01,user_0039,2020-12-08,,Venezuela,MLV,GMV Analytics,Marketplace,Senior Analyst
2025-08-01,user_0585,2025-07-15,,Chile,MLC,Credit Risk,Risk & Compliance,Manager
2025-03-01,user_0208,2023-08-03,,Uruguay,MLU,Security,IT,Software Engineer
2025-10-01,user_0699,2023-01-15,,Brazil,MLB,Last Mile,Shipping,Representative
2025-07-01,user_0687,2020-11-03,,Chile,MLC,Infrastructure,IT,Data Engineer
2025-11-01,user_0620,2022-04-23,,Brazil,MLB,Last Mile,Shipping,Representative
2025-12-01,user_0688,2021-08-17,,Brazil,MLB,Publisher,Advertising,Account Manager
2025-08-01,user_0056,2023-10-23,,Chile,MLC,Sellers Growth,Marketplace,Coordinator
2025-05-01,user_0021,2020-07-31,,Brazil,MLB,Digital Marketing,Marketing,Senior Analyst
2025-08-01,user_0670,2022-02-18,2025-10-05,Ecuador,MEC,Credit Risk,Risk & Compliance,Risk Analyst
2025-01-01,user_0640,2018-12-22,,Colombia,MCO,Brand Strategy,Marketing,Analyst
2025-02-01,user_0003,2021-02-13,,Colombia,MCO,Content,Marketing,Senior Analyst
2025-09-01,user_0170,2021-01-22,,Peru,MPE,Security,IT,Data Engineer
2025-07-01,user_0606,2020-04-08,,Argentina,MLA,Operational Risk,Risk & Compliance,Senior Analyst
2025-06-01,user_0109,2020-01-08,,Argentina,MLA,Fraud Prevention,Fintech,Specialist
2025-09-01,user_0772,2023-07-07,,Brazil,MLB,Catalog,Marketplace,Manager
2025-09-01,user_0027,2020-05-25,,Ecuador,MEC,Infrastructure,IT,DevOps Engineer
2025-06-01,user_0749,2022-04-13,,Mexico,MLM,CRM,Marketing,Senior Analyst
2025-09-01,user_0210,2019-03-17,,Brazil,MLB,Agency,Advertising,Manager
2025-02-01,user_0060,2022-04-18,,Argentina,MLA,FP&A,Finance,Senior Analyst
2025-05-01,user_0432,2019-11-30,,Colombia,MCO,Sellers Growth,Marketplace,Analyst
2025-08-01,user_0503,2019-06-18,,Brazil,MLB,Data Engineering,IT,Data Engineer
2025-11-01,user_0510,2022-06-19,,Mexico,MLM,Insurance,Fintech,Specialist
2025-08-01,user_0026,2024-01-24,,Argentina,MLA,Data Engineering,IT,Data Engineer
2025-12-01,user_0247,2024-01-10,,Argentina,MLA,Buyers Experience,Marketplace,Manager
2025-06-01,user_0086,2021-05-02,,Venezuela,MLV,Fraud Prevention,Fintech,Risk Analyst
2025-02-01,user_0625,2018-05-13,,Brazil,MLB,GMV Analytics,Marketplace,Analyst
2025-01-01,user_0401,2019-12-29,,Brazil,MLB,GMV Analytics,Marketplace,Coordinator
2025-12-01,user_0211,2024-05-24,,Colombia,MCO,Brand Strategy,Marketing,Analyst
2025-11-01,user_0176,2021-04-08,,Peru,MPE,Brand,Advertising,Senior Analyst
2025-03-01,user_0033,2019-06-21,,Brazil,MLB,Product Management,Products,UX Designer
2025-04-01,user_0001,2019-02-24,,Chile,MLC,GMV Analytics,Marketplace,Senior Analyst
2025-12-01,user_0020,2022-03-10,,Mexico,MLM,HR Business Partner,People,HR Business Partner
2025-11-01,user_0495,2018-11-12,,Mexico,MLM,Performance,Advertising,Account Manager
2025-08-01,user_0600,2024-09-11,,Argentina,MLA,Internal Audit,Internal Audit,Senior Auditor
2025-09-01,user_0703,2022-07-05,,Mexico,MLM,Product Design,Products,UX Designer
2025-01-01,user_0261,2022-01-11,,Brazil,MLB,Insurance,Fintech,Risk Analyst
2025-05-01,user_0567,2024-09-18,,Brazil,MLB,Fulfillment,Shipping,Analyst
2025-07-01,user_0392,2019-09-05,2025-11-29,Brazil,MLB,Brand,Advertising,Account Manager
2025-08-01,user_0051,2021-05-17,,Mexico,MLM,Fraud Prevention,Fintech,Senior Analyst
2025-12-01,user_0135,2020-07-24,,Colombia,MCO,CRM,Marketing,Specialist
2025-03-01,user_0506,2024-02-06,,Brazil,MLB,Digital Marketing,Marketing,Marketing Manager
2025-07-01,user_0309,2023-02-17,,Brazil,MLB,Buyers Experience,Marketplace,Lead
2025-01-01,user_0303,2023-02-19,,Mexico,MLM,Product Design,Products,Product Analyst
2025-06-01,user_0673,2024-09-13,,Argentina,MLA,SOX Compliance,Internal Audit,Senior Auditor
2025-01-01,user_0202,2024-06-20,,Brazil,MLB,Data Engineering,IT,Data Engineer
2025-07-01,user_0697,2022-01-11,,Chile,MLC,Fraud Prevention,Fintech,Analyst
2025-05-01,user_0214,2023-10-29,,Mexico,MLM,Buyers Experience,Marketplace,Manager
2025-10-01,user_0178,2018-06-28,,Venezuela,MLV,Brand,Advertising,Account Manager
2025-10-01,user_0083,2018-02-20,,Mexico,MLM,UX Research,Products,Researcher
2025-07-01,user_0232,2019-03-16,,Ecuador,MEC,FP&A,Finance,Finance Manager
2025-10-01,user_0466,2021-11-18,,Ecuador,MEC,Product Analytics,Products,Product Manager
2025-05-01,user_0553,2024-12-05,,Peru,MPE,GMV Analytics,Marketplace,Analyst
2025-02-01,user_0778,2020-01-04,,Brazil,MLB,Sellers Growth,Marketplace,Coordinator
2025-10-01,user_0068,2020-11-15,,Brazil,MLB,Brand,Advertising,Senior Analyst
2025-07-01,user_0703,2022-07-05,,Mexico,MLM,Product Design,Products,UX Designer
2025-04-01,user_0009,2018-08-18,,United States,USA,UX Research,Products,Product Analyst
2025-09-01,user_0220,2024-04-16,,Ecuador,MEC,FP&A,Finance,Senior Analyst
2025-07-01,user_0791,2021-05-02,,Venezuela,MLV,Infrastructure,IT,Analyst
2025-08-01,user_0481,2021-06-06,,Uruguay,MLU,Fraud Prevention,Fintech,Manager
2025-03-01,user_0064,2024-12-23,,Chile,MLC,Infrastructure,IT,DevOps Engineer
2025-05-01,user_0692,2019-09-02,,Mexico,MLM,Catalog,Marketplace,Manager
2025-02-01,user_0537,2023-09-22,,Chile,MLC,Operational Risk,Risk & Compliance,Manager
2025-11-01,user_0490,2025-09-07,,United States,USA,Content,Marketing,Marketing Manager
2025-08-01,user_0698,2025-05-03,,Argentina,MLA,Sellers Growth,Marketplace,Senior Analyst
2025-05-01,user_0002,2023-09-01,,Brazil,MLB,Logistics,Shipping,Representative
2025-10-01,user_0403,2021-01-07,,Colombia,MCO,Credit,Fintech,Senior Analyst
2025-02-01,user_0753,2019-05-05,,Mexico,MLM,Last Mile,Shipping,Manager
2025-01-01,user_0592,2020-02-20,,Ecuador,MEC,Catalog,Marketplace,Coordinator
2025-09-01,user_0417,2019-11-22,,Argentina,MLA,Catalog,Marketplace,Manager
2025-11-01,user_0477,2021-11-09,,Brazil,MLB,Credit Risk,Risk & Compliance,Manager
2025-10-01,user_0107,2023-06-22,,Chile,MLC,GMV Analytics,Marketplace,Senior Analyst
2025-09-01,user_0532,2024-06-16,,Argentina,MLA,Fulfillment,Shipping,Coordinator
2025-11-01,user_0614,2022-10-18,,Argentina,MLA,Content,Marketing,Marketing Manager
2025-09-01,user_0734,2018-03-29,,Mexico,MLM,Accounting,Finance,Finance Manager
2025-04-01,user_0097,2019-06-21,,Mexico,MLM,Logistics,Shipping,Coordinator
2025-01-01,user_0290,2018-10-11,,Ecuador,MEC,Performance,Advertising,Account Manager
2025-09-01,user_0296,2022-08-31,,Mexico,MLM,Infrastructure,IT,Analyst
2025-01-01,user_0162,2022-03-23,,Chile,MLC,UX Research,Products,Product Manager
2025-05-01,user_0777,2020-08-03,,Brazil,MLB,Brand,Advertising,Manager
2025-03-01,user_0767,2019-02-09,,Colombia,MCO,HR Business Partner,People,HR Analyst
2025-05-01,user_0761,2019-05-01,,Colombia,MCO,Last Mile,Shipping,Representative
2025-03-01,user_0018,2018-11-19,2025-10-07,Peru,MPE,Payments,Fintech,Senior Analyst
2025-02-01,user_0622,2021-06-21,,Brazil,MLB,Infrastructure,IT,Data Engineer
2025-08-01,user_0672,2023-04-06,,Brazil,MLB,Logistics,Shipping,Manager
2025-07-01,user_0645,2018-07-08,2025-07-10,Ecuador,MEC,Product Design,Products,Product Analyst
2025-08-01,user_0154,2018-10-07,,Mexico,MLM,Product Management,Products,Product Analyst
2025-05-01,user_0211,2024-05-24,,Colombia,MCO,Brand Strategy,Marketing,Analyst
2025-09-01,user_0100,2023-09-13,,Brazil,MLB,AML,Risk & Compliance,Senior Analyst
2025-01-01,user_0288,2021-08-27,,Argentina,MLA,Fraud Prevention,Fintech,Specialist
2025-02-01,user_0460,2018-11-02,,Mexico,MLM,Infrastructure,IT,Analyst
2025-08-01,user_0421,2021-04-06,,Mexico,MLM,Payments,Fintech,Analyst
2025-12-01,user_0057,2024-04-08,,Uruguay,MLU,Buyers Experience,Marketplace,Coordinator
